code,name,city,state,statename,lat,lng,search
ABE,Lehigh Valley International Airport,Allentown,PA,Pennsylvania,40.6514,-75.4342,abe|lehighvalleyinternationalairport|allentownpa|pennsylvania
ABI,Abilene Regional Airport,Abilene,TX,Texas,32.4164,-99.6803,abi|abileneregionalairport|abilenetx|texas
ABL,Ambler Airport,Kiana,AK,Alaska,67.1058,-157.854,abl|amblerairport|kianaak|alaska
ABQ,Albuquerque International Airport,Albuquerque,NM,New Mexico,35.0494,-106.625,abq|albuquerqueinternationalairport|albuquerquenm|newmexico
ABR,Aberdeen Regional Airport,Aberdeen,SD,South Dakota,45.4536,-98.4189,abr|aberdeenregionalairport|aberdeensd|southdakota
ABY,Southwest Georgia Regional Airport,Albany,GA,Georgia,31.5328,-84.1867,aby|southwestgeorgiaregionalairport|albanyga|georgia
ACK,Nantucket Memorial Airport,Nantucket,MA,Massachusetts,41.2568,-70.0649,ack|nantucketmemorialairport|nantucketma|massachusetts
ACT,Waco Regional Airport,Waco,TX,Texas,31.609,-97.2234,act|wacoregionalairport|wacotx|texas
ACV,Arcata Airport,Mckinleyville,CA,California,40.9698,-124.108,acv|arcataairport|mckinleyvilleca|california
ACY,Atlantic City International Airport,Egg Harbor City,NJ,New Jersey,39.4512,-74.5716,acy|atlanticcityinternationalairport|eggharborcitynj|newjersey
ADK,Adak Airport,Adak,AK,Alaska,51.88,-176.639,adk|adakairport|adakak|alaska
ADQ,Kodiak Airport,Kodiak,AK,Alaska,57.7545,-152.512,adq|kodiakairport|kodiakak|alaska
AET,Allakaket Airport,Allakaket,AK,Alaska,66.55,-152.65,aet|allakaketairport|allakaketak|alaska
AEX,Alexandria International Airport,Alexandria,LA,Louisiana,31.323,-92.5417,aex|alexandriainternationalairport|alexandriala|louisiana
AGN,Angoon Airport,Angoon,AK,Alaska,57.4996,-134.577,agn|angoonairport|angoonak|alaska
AGS,Bush Field Airport,Augusta,GA,Georgia,33.3735,-81.9732,ags|bushfieldairport|augustaga|georgia
AHC,Amedee Army Air Field,Herlong,CA,California,40.2664,-120.151,ahc|amedeearmyairfield|herlongca|california
AIA,Alliance Municipal Airport,Alliance,NE,Nebraska,42.0622,-102.81,aia|alliancemunicipalairport|alliancene|nebraska
AIN,Wainwright Airport,Wainwright,AK,Alaska,70.6139,-159.857,ain|wainwrightairport|wainwrightak|alaska
AKB,Atka Airport,Atka,AK,Alaska,52.2217,-174.204,akb|atkaairport|atkaak|alaska
AKI,Akiak Airport,Bethel,AK,Alaska,60.8866,-161.218,aki|akiakairport|bethelak|alaska
AKK,Akhiok Airport,Kodiak,AK,Alaska,56.95,-154.167,akk|akhiokairport|kodiakak|alaska
AKN,King Salmon Airport,King Salmon,AK,Alaska,58.6775,-156.655,akn|kingsalmonairport|kingsalmonak|alaska
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK,Alaska,68.1916,-151.79,akp|anaktuvukpassairport|anaktuvukpassak|alaska
ALB,Albany International Airport,Latham,NY,New York,42.7426,-73.809,alb|albanyinternationalairport|lathamny|newyork
ALM,Alamogordo White Sands Regional Airport,Alamogordo,NM,New Mexico,32.8407,-105.994,alm|alamogordowhitesandsregionalairport|alamogordonm|newmexico
ALO,Waterloo Municipal Airport,Waterloo,IA,Iowa,42.5509,-92.3951,alo|waterloomunicipalairport|waterlooia|iowa
ALS,San Luis Valley Regional Airport,Alamosa,CO,Colorado,37.4444,-105.865,als|sanluisvalleyregionalairport|alamosaco|colorado
ALW,Walla Walla Regional Airport,Walla Walla,WA,Washington,46.0879,-118.283,alw|wallawallaregionalairport|wallawallawa|washington
ALZ,Alitak Seaplane Base,Alitak,AK,Alaska,56.8988,-154.246,alz|alitakseaplanebase|alitakak|alaska
AMA,Amarillo International Airport,Amarillo,TX,Texas,35.2177,-101.706,ama|amarillointernationalairport|amarillotx|texas
ANC,Anchorage International Airport,Anchorage,AK,Alaska,61.1767,-149.961,anc|anchorageinternationalairport|anchorageak|alaska
ANI,Aniak Airport,Bethel,AK,Alaska,61.5742,-159.535,ani|aniakairport|bethelak|alaska
ANV,Anvik Airport,Anvik,AK,Alaska,62.65,-160.217,anv|anvikairport|anvikak|alaska
AOO,Altoona-Blair County Airport,Martinsburg,PA,Pennsylvania,40.2952,-78.324,aoo|altoonablaircountyairport|martinsburgpa|pennsylvania
